epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7556,1.36291,0.73458,1.13828,0.86547,0.83662,0.87836,0.48148,1.43187,0.75851,1.1982,0.0011882,0.0011882,0.0011882
43,7708.23,1.37324,0.74307,1.13146,0.85563,0.83725,0.87445,0.47771,1.44391,0.75036,1.18334,0.0011684,0.0011684,0.0011684
44,7860.53,1.35556,0.73051,1.13256,0.8763,0.82263,0.8808,0.48661,1.45127,0.74714,1.18658,0.0011486,0.0011486,0.0011486
45,8012.71,1.34014,0.70787,1.12156,0.8639,0.83125,0.87917,0.48838,1.44112,0.76455,1.20197,0.0011288,0.0011288,0.0011288
46,8165.16,1.34822,0.71093,1.13221,0.87134,0.83598,0.88498,0.48633,1.44813,0.73631,1.20567,0.001109,0.001109,0.001109
47,28447.2,1.32918,0.69878,1.12155,0.86739,0.82263,0.87274,0.48607,1.44875,0.72717,1.20341,0.0010892,0.0010892,0.0010892
48,28601.4,1.3404,0.69749,1.12518,0.86277,0.83936,0.87798,0.48739,1.42921,0.72669,1.18311,0.0010694,0.0010694,0.0010694
49,28753.2,1.31912,0.6976,1.11642,0.86218,0.83914,0.88433,0.48743,1.43679,0.7256,1.18006,0.0010496,0.0010496,0.0010496
50,28905.4,1.33452,0.70879,1.12353,0.8719,0.82649,0.88185,0.49631,1.4242,0.72896,1.19286,0.0010298,0.0010298,0.0010298
51,29057.3,1.31919,0.69525,1.11598,0.8696,0.83516,0.87946,0.48488,1.44328,0.73818,1.19876,0.00101,0.00101,0.00101
52,29210,1.31925,0.68916,1.11801,0.85876,0.83491,0.87144,0.48169,1.44904,0.74093,1.20199,0.0009902,0.0009902,0.0009902
53,29362.2,1.31113,0.68257,1.10487,0.85901,0.84052,0.87335,0.4868,1.43666,0.76471,1.19376,0.0009704,0.0009704,0.0009704
54,29512.9,1.30355,0.67751,1.11192,0.8657,0.83153,0.87887,0.48233,1.44521,0.73274,1.18299,0.0009506,0.0009506,0.0009506
55,39302.6,1.30454,0.67165,1.10337,0.88037,0.83217,0.87849,0.49097,1.43554,0.73229,1.18472,0.0009308,0.0009308,0.0009308
56,39454.8,1.31278,0.67511,1.1015,0.86666,0.84552,0.88584,0.49108,1.44274,0.72259,1.18171,0.000911,0.000911,0.000911
57,39606,1.30358,0.67999,1.09818,0.8638,0.84668,0.8796,0.49033,1.43764,0.72171,1.19585,0.0008912,0.0008912,0.0008912
58,39755.7,1.29377,0.66887,1.09616,0.86461,0.84443,0.88236,0.49034,1.43064,0.71488,1.18379,0.0008714,0.0008714,0.0008714
59,39905.5,1.28499,0.65973,1.09786,0.87141,0.83576,0.88888,0.49211,1.42176,0.72843,1.18029,0.0008516,0.0008516,0.0008516
60,40055.1,1.29198,0.65661,1.09617,0.86424,0.8337,0.87829,0.49208,1.44139,0.74491,1.19245,0.0008318,0.0008318,0.0008318
61,40205.2,1.28353,0.66124,1.09135,0.85867,0.83427,0.87586,0.49001,1.4417,0.76444,1.18238,0.000812,0.000812,0.000812
62,40355.3,1.26827,0.65035,1.09211,0.86368,0.83535,0.88,0.49291,1.43454,0.73657,1.17514,0.0007922,0.0007922,0.0007922
63,77440.3,1.26586,0.65177,1.08853,0.87067,0.8309,0.8668,0.48085,1.44155,0.73512,1.18424,0.0007724,0.0007724,0.0007724
64,77596.2,1.26126,0.6491,1.09119,0.87013,0.83535,0.87495,0.4892,1.44605,0.73806,1.18846,0.0007526,0.0007526,0.0007526
65,77749.8,1.26946,0.64494,1.08348,0.86686,0.83195,0.87467,0.48766,1.45086,0.73241,1.192,0.0007328,0.0007328,0.0007328
66,77899.4,1.25713,0.64001,1.08341,0.86734,0.8328,0.87638,0.48361,1.45622,0.71996,1.19229,0.000713,0.000713,0.000713
67,78049.8,1.25948,0.63524,1.0809,0.86383,0.84691,0.87035,0.48825,1.44382,0.71334,1.18919,0.0006932,0.0006932,0.0006932
68,78202,1.2366,0.62803,1.07522,0.86773,0.83411,0.87761,0.49132,1.44017,0.72477,1.19,0.0006734,0.0006734,0.0006734
69,78352.8,1.24328,0.63205,1.07694,0.87882,0.83447,0.87606,0.48715,1.44728,0.73941,1.19035,0.0006536,0.0006536,0.0006536
70,78505.4,1.23191,0.61432,1.07986,0.86372,0.83853,0.86982,0.48482,1.44204,0.733,1.19222,0.0006338,0.0006338,0.0006338
71,78657.6,1.2302,0.6248,1.06476,0.8779,0.82772,0.87724,0.48579,1.448,0.71773,1.19124,0.000614,0.000614,0.000614
72,78808.2,1.23533,0.62276,1.06977,0.87865,0.82263,0.87577,0.48674,1.44774,0.72266,1.18934,0.0005942,0.0005942,0.0005942
73,78958.7,1.2272,0.62259,1.05864,0.86493,0.84268,0.87605,0.48647,1.44306,0.71535,1.19577,0.0005744,0.0005744,0.0005744
74,79109.1,1.20378,0.60605,1.05821,0.87364,0.83408,0.87791,0.48895,1.43935,0.70994,1.2003,0.0005546,0.0005546,0.0005546
75,79259.9,1.21276,0.61151,1.06583,0.87556,0.82962,0.87329,0.48793,1.44541,0.72218,1.1855,0.0005348,0.0005348,0.0005348
76,79412.2,1.21752,0.60697,1.0552,0.85975,0.8457,0.87447,0.48541,1.44315,0.73608,1.19022,0.000515,0.000515,0.000515
77,79563.7,1.20894,0.60638,1.06017,0.87533,0.84234,0.87869,0.48309,1.45652,0.72617,1.19029,0.0004952,0.0004952,0.0004952
78,79717.8,1.19204,0.59619,1.04889,0.88345,0.83367,0.87804,0.48726,1.45539,0.72867,1.1956,0.0004754,0.0004754,0.0004754
79,79872.6,1.18532,0.5922,1.05649,0.86797,0.84007,0.88252,0.4904,1.45135,0.735,1.19268,0.0004556,0.0004556,0.0004556
80,80025,1.18391,0.595,1.047,0.86846,0.83344,0.8721,0.48465,1.44894,0.73734,1.19373,0.0004358,0.0004358,0.0004358
81,80175.8,1.18537,0.59033,1.05268,0.87419,0.8309,0.877,0.48624,1.46404,0.74774,1.19189,0.000416,0.000416,0.000416
82,80329.9,1.17224,0.58658,1.04009,0.86876,0.84165,0.87804,0.48214,1.46818,0.73465,1.19213,0.0003962,0.0003962,0.0003962
83,80481.2,1.16366,0.58159,1.0394,0.86163,0.8432,0.87253,0.48454,1.46163,0.73984,1.2024,0.0003764,0.0003764,0.0003764
84,80632.9,1.1573,0.57711,1.03787,0.86665,0.83916,0.87583,0.48585,1.46899,0.73352,1.20095,0.0003566,0.0003566,0.0003566
85,80786.8,1.15724,0.5758,1.0387,0.87211,0.84425,0.88022,0.48753,1.47857,0.73807,1.20855,0.0003368,0.0003368,0.0003368
86,80941,1.15993,0.57108,1.03977,0.86435,0.84806,0.87241,0.48548,1.4732,0.73487,1.20798,0.000317,0.000317,0.000317
87,81094.6,1.14813,0.5682,1.03343,0.86696,0.83598,0.86668,0.48072,1.47654,0.73805,1.2125,0.0002972,0.0002972,0.0002972
88,81248.9,1.14846,0.57003,1.0248,0.86848,0.83543,0.87058,0.48017,1.4788,0.7469,1.20676,0.0002774,0.0002774,0.0002774
89,81402.6,1.13649,0.56335,1.03283,0.87117,0.83725,0.87242,0.48325,1.47871,0.74774,1.21375,0.0002576,0.0002576,0.0002576
90,81556,1.11912,0.55071,1.02265,0.8584,0.84298,0.87103,0.48448,1.47125,0.7357,1.21574,0.0002378,0.0002378,0.0002378
91,81750.8,1.15913,0.55571,1.0353,0.87114,0.83806,0.87211,0.47987,1.48669,0.75062,1.21953,0.000218,0.000218,0.000218
92,81903.6,1.15236,0.5388,1.02546,0.87704,0.82645,0.87138,0.47986,1.48276,0.74838,1.21256,0.0001982,0.0001982,0.0001982
93,82056.9,1.14511,0.53694,1.02403,0.87324,0.83652,0.87215,0.48003,1.48205,0.74235,1.21749,0.0001784,0.0001784,0.0001784
94,82210.6,1.14104,0.53017,1.01821,0.8707,0.83477,0.87462,0.47994,1.48654,0.74777,1.21986,0.0001586,0.0001586,0.0001586
95,82364,1.1228,0.52833,1.0162,0.86989,0.82884,0.86803,0.47918,1.48228,0.74299,1.2178,0.0001388,0.0001388,0.0001388
96,82518,1.129,0.53114,1.01795,0.86676,0.83126,0.86698,0.47601,1.49159,0.74941,1.22391,0.000119,0.000119,0.000119
97,82671.7,1.11945,0.52536,1.01273,0.868,0.83187,0.86922,0.47684,1.48912,0.75207,1.22328,9.92e-05,9.92e-05,9.92e-05
98,82825.9,1.1116,0.5181,1.01073,0.85724,0.8398,0.86924,0.47913,1.49258,0.75256,1.22547,7.94e-05,7.94e-05,7.94e-05
99,82979.7,1.09527,0.51438,1.00964,0.8545,0.84234,0.86989,0.47961,1.49458,0.74956,1.22412,5.96e-05,5.96e-05,5.96e-05
100,83133,1.10595,0.50993,1.00855,0.85788,0.84041,0.8659,0.47945,1.49166,0.75057,1.22254,3.98e-05,3.98e-05,3.98e-05
